id_product;name;price;
"191";"Winbot 7 Safety Pod";"1759.116022";
"193";"RedHawk & Wheeme - World's First Robotic Body Massager Free with India's Number 1 Floor Robot ";"28269.613260";
"197";"Ceiling Mount 300A Refurbished";"2643.093923";
"198";"Wall Rack 001 Refurbished";"7062.983425";
"201";"Picture Frame MGL012 Refurbished";"1759.116022";
"202";"Wall Mount 231 Refurbished";"1759.116022";
"203";"Wall Mount 222 Refurbished";"2289.502762";
"204";"Wall Mount 223 Refurbished";"2643.093923";
"205";"Wall Mount 731 Refurbished";"2289.502762";
"206";"Wall Mount 723 Refurbished";"3527.071823";
"207";"Wall Mount 4011 Refurbished";"8830.939227";
"208";"Wall Mount 704 Refurbished";"3527.071823";
"211";"Winbot W730";"35350.276243";
"212";"QuadCore+DualCore Free. Buy M8 Pro 3G SIM, Quad Core, 16GB get Free MGPT03 Pro Dual Core, 16GB";"33235.154394";
"217";"Milagrow BlackCat2.0";"21206.629834";
"218";"Milagrow CureBot";"29162.430939";
"219";"Milagrow CloudSniper";"48609.944751";
"220";"Ecovacs DeeBot 63";"22974.585635";
"221";"Ecovacs DeeBot 66";"24742.541436";
"222";"Ecovacs DeeBot 68";"30930.386740";
"223";"Ecovacs 3D DeeBot 77";"48609.944751";
"224";"Milagrow RoboCop 2.0";"12366.850829";
"225";"Milagrow CoinSucker";"5295.027624";
"226";"M2Pro 3GCall 32GB 8.4 Quad Core";"20893.111639";
"227";"M2Pro 3GCall 16GB 8.4 Quad Core";"17092.636580";
"228";"M2Pro 3G Call 8GB 7.4 Dual Core";"8541.567696";
"229";"RoboNicklaus 2.0";"114908.287293";
"231";"RoboTiger 2.0";"88388.950276";
"232";"RoboTiger 1.0";"61869.613260";
"233";"RoboPhelps 15";"132596.685083";
"236";"RoboPhelps Aureolin Yellow";"0.000000";
"237";"Milagrow TysonTablet";"26510.497238";
"238";"Milagrow iRambo";"21206.629834";
"278";"Milagrow MiniBond";"15902.762431";
"281";"RoboNicklaus 2.0";"114908.287293";
"282";"RedHawk2.0+Wheeme";"30037.569061";
"283";"BlackCat2.0+Wheeme";"30037.569061";
"284";"RoboCop2.0+Wheeme";"21197.790055";
"285";"Milagrow RedHawk1.0";"19438.674033";
"290";"M2 Pro 32GB Case";"1510.688836";
"291";"M2 Pro 16GB Case";"1510.688836";
"292";"M2 Pro8GB Case";"940.617577";
"293";"M8Pro+Designer Cover";"26584.323040";
"294";"M2Pro32GB+ FlipCover";"22403.800475";
"295";"M2Pro16GB+FlexCover ";"19553.444181";
"296";"M2Pro8GB+LeatherCase";"8921.615202";
"297";"Milagrow RoboPhelps with Caddy Card";"105193.370166";
